id,codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida
0,0026155230,0068,2012-01-18T20:00:00.000,0,EMAS - AUT,CALDAS,MANIZALES,CAUCA,5.08525,-75.50713889,Temp Aire 2 m,°C
1,0023125501,0068,2018-08-17T23:55:00.000,19.41672,PAUNA  - AUT,BOYACÁ,PAUNA,MEDIO MAGDALENA,5.657130556,-73.96032778,Temp Aire 2 m,°C
2,0026145090,0068,2018-02-03T00:00:00.000,16.3,SANTA EMILIA - AUT,RISARALDA,BELÉN DE UMBRÍA,CAUCA,5.207472222,-75.90294444,Temp Aire 2 m,°C
3,0023065503,0068,2016-07-09T07:10:00.000,20.2,EL MIRADOR  - AUT,CUNDINAMARCA,SASAIMA,MEDIO MAGDALENA,4.95,-74.4,Temp Aire 2 m,°C
4,0021202180,0068,2013-09-29T15:15:00.000,16.2,QUIBA - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.543,-74.156,Temp Aire 2 m,°C
5,2120700037,0068,2019-05-10T18:58:00.000,15.7,CASAS FISCALES ESCUELA DE ARTILLERÍA - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.556,-74.125,Temp Aire 2 m,°C
6,0021215180,0068,2011-09-10T13:00:00.000,25.5,BATALLON ROOKE  - AUT,TOLIMA,IBAGUÉ,ALTO MAGDALENA,4.418388889,-75.24866667,Temp Aire 2 m,°C
7,0023085501,0068,2016-07-28T20:40:00.000,19.8,COCORNA  - AUT,ANTIOQUIA,COCORNÁ,MEDIO MAGDALENA,6.061941667,-75.18666667,Temp Aire 2 m,°C
8,0021015070,0068,2016-09-11T18:00:00.000,14.8,LOS GUACHAROS  - AUT,HUILA,PALESTINA,ALTO MAGDALENA,1.675833,-76.106841,Temp Aire 2 m,°C
9,0021202230,0068,2015-05-09T21:30:00.000,14.6,UAN SEDE USME - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.467,-74.117,Temp Aire 2 m,°C
10,0026115501,0068,2019-06-09T11:05:00.000,25.61687,MANUEL MARIA MALLARINO  - AUT,VALLE DEL CAUCA,TRUJILLO,CAUCA,4.213611111,-76.31497222,Temp Aire 2 m,°C
11,0026155502,0068,2019-03-07T04:45:00.000,20.09708,CENICAFE  - AUT,CALDAS,MANIZALES,CAUCA,4.991111111,-75.59749722,Temp Aire 2 m,°C
12,0026155505,0068,2017-04-23T15:35:00.000,33.4,GRANJA LUKER  - AUT,CALDAS,PALESTINA,CAUCA,5.070275,-75.68555278,Temp Aire 2 m,°C
13,0021208480,0068,2015-04-29T02:00:00.000,14.7,KENNEDY - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.633,-74.15,Temp Aire 2 m,°C
14,2120000102,0068,2019-02-05T14:19:00.000,18.26,COLEGIO CARLOS PIZARRO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.635,-74.205,Temp Aire 2 m,°C
15,0053115501,0068,2019-07-28T23:10:00.000,18.6876,DAGUA  - AUT,VALLE DEL CAUCA,DAGUA,TAPAJE - DAGUA - DIRECTOS,3.610441667,-76.63785833,Temp Aire 2 m,°C
16,0052035040,0068,2009-11-28T01:00:00.000,21.3,VIENTO LIBRE - AUT,NARIÑO,TAMINANGO,PATÍA,1.6185,-77.34361111,Temp Aire 2 m,°C
17,0026015010,0068,2007-08-26T06:00:00.000,15.2,EL TABLAZO - AUT,CAUCA,POPAYÁN,CAUCA,2.474833056,-76.58129361,Temp Aire 2 m,°C
